benchmark,condition,model,paradigm,prompt_mode,file,questions,samples_per_question,total_samples,parsed_samples,parse_failures,format_failures,validity_failures,correct_samples,alternate_correct_samples,parse_failure_rate,correct_rate_parsed,correct_rate_all
gsm8k,instruct_flat_n128,Dream,dLLM,instruct_flat,results/milestone2_gsm8k_instruct/Dream-org_Dream-v0-Instruct-7B_256_256_32_1_0.7_4_128_128_generations_instruct_flat_fast_dllm.json,128,128,16384,15887,2,495,4268,11619,11775,0.0001220703125,0.7313526782904262,0.70916748046875
gsm8k,instruct_flat_n128,Qwen,AR,instruct_flat,results/milestone2_gsm8k_instruct/Qwen_Qwen2.5-7B-Instruct_256_1_0.7_4_128_128_generations_instruct_flat_vllm.json,128,128,16384,12891,0,3493,813,12078,13035,0.0,0.9369327437747266,0.7371826171875
gsm8k,instruct_flat_n128,Llama,AR,instruct_flat,results/milestone2_gsm8k_instruct/meta-llama_Llama-3.1-8B-Instruct_256_1_0.7_4_128_128_generations_instruct_flat_vllm.json,128,128,16384,15468,0,916,12215,3253,3342,0.0,0.21030514610809414,0.19854736328125
countdown,base_refresh,LLaDA,dLLM,base_native,results/milestone2_countdown_base_refresh/GSAI-ML_LLaDA-8B-Base_countdown_cd4_32_32_32_8_0.7_8_992_128_generations_base_native_fast_dllm.json,992,128,126976,126958,1,823,108013,18139,0,7.875504032258064e-06,0.14287402132988863,0.14285376764112903
countdown,base_refresh,Dream,dLLM,base_native,results/milestone2_countdown_base_refresh/Dream-org_Dream-v0-Base-7B_countdown_cd4_32_32_32_8_0.7_8_992_128_generations_base_native_fast_dllm.json,992,128,126976,126952,0,1028,111595,14353,0,0.0,0.11305847879513517,0.113037109375
countdown,base_refresh,Qwen,AR,base_native,results/milestone2_countdown_base_refresh/Qwen_Qwen2.5-7B_countdown_cd4_32_8_0.7_8_992_128_generations_base_native_vllm.json,992,128,126976,126976,0,33005,88837,5134,0,0.0,0.040432837701612906,0.040432837701612906
countdown,base_refresh,Llama,AR,base_native,results/milestone2_countdown_base_refresh/meta-llama_Llama-3.1-8B_countdown_cd4_32_8_0.7_8_992_128_generations_base_native_vllm.json,992,128,126976,126974,0,44593,78954,3429,0,0.0,0.027005528690913102,0.027005103326612902
countdown,instruct_refresh,LLaDA,dLLM,instruct_templated,results/milestone2_countdown_instruct_refresh/GSAI-ML_LLaDA-8B-Instruct_countdown_cd4_32_32_32_8_0.7_8_992_128_generations_instruct_templated_fast_dllm.json,992,128,126976,126638,106,1408,122403,3059,0,0.0008348034274193549,0.024155466763530694,0.024091166834677418
countdown,instruct_refresh,Dream,dLLM,instruct_templated,results/milestone2_countdown_instruct_refresh/Dream-org_Dream-v0-Instruct-7B_countdown_cd4_32_32_32_8_0.7_8_992_128_generations_instruct_templated_fast_dllm.json,992,128,126976,126883,5,5485,109870,11616,0,3.937752016129032e-05,0.09154890726102,0.09148185483870967
countdown,instruct_refresh,Qwen,AR,instruct_templated,results/milestone2_countdown_instruct_refresh/Qwen_Qwen2.5-7B-Instruct_countdown_cd4_32_8_0.7_8_992_128_generations_instruct_templated_vllm.json,992,128,126976,126976,0,3038,113985,9953,0,0.0,0.07838489163306452,0.07838489163306452
countdown,instruct_refresh,Llama,AR,instruct_templated,results/milestone2_countdown_instruct_refresh/meta-llama_Llama-3.1-8B-Instruct_countdown_cd4_32_8_0.7_8_992_128_generations_instruct_templated_vllm.json,992,128,126976,126946,5,43175,76463,7333,0,3.937752016129032e-05,0.05776471885683677,0.05775107106854839
countdown,prompt_diag,LLaDA,dLLM,instruct_templated,results/GSAI-ML_LLaDA-8B-Instruct_countdown_cd4_32_32_32_8_0.7_8_512_128_generations_instruct_templated_fast_dllm.json,512,128,65536,65480,2,759,63679,1096,0,3.0517578125e-05,0.016737935247403787,0.0167236328125
countdown,prompt_diag,LLaDA,dLLM,instruct_flat,results/GSAI-ML_LLaDA-8B-Instruct_countdown_cd4_32_32_32_8_0.7_8_512_128_generations_instruct_flat_fast_dllm.json,512,128,65536,64543,845,139,63434,1118,0,0.0128936767578125,0.017321785476349102,0.017059326171875
countdown,prompt_diag,Dream,dLLM,instruct_templated,results/Dream-org_Dream-v0-Instruct-7B_countdown_cd4_32_32_32_8_0.7_8_512_128_generations_instruct_templated_fast_dllm.json,512,128,65536,65484,8,2490,58009,5029,0,0.0001220703125,0.07679738562091504,0.0767364501953125
countdown,prompt_diag,Dream,dLLM,instruct_flat,results/Dream-org_Dream-v0-Instruct-7B_countdown_cd4_32_32_32_8_0.7_8_512_128_generations_instruct_flat_fast_dllm.json,512,128,65536,65514,2,1387,57693,6454,0,3.0517578125e-05,0.09851329486827243,0.098480224609375
countdown,prompt_diag,Qwen,AR,instruct_templated,results/Qwen_Qwen2.5-7B-Instruct_countdown_cd4_32_8_0.7_8_512_128_generations_instruct_templated_vllm.json,512,128,65536,65536,0,1499,59144,4893,0,0.0,0.0746612548828125,0.0746612548828125
countdown,prompt_diag,Qwen,AR,instruct_flat,results/Qwen_Qwen2.5-7B-Instruct_countdown_cd4_32_8_0.7_8_512_128_generations_instruct_flat_vllm.json,512,128,65536,65536,0,3338,58191,4007,0,0.0,0.0611419677734375,0.0611419677734375
countdown,prompt_diag,Llama,AR,instruct_templated,results/meta-llama_Llama-3.1-8B-Instruct_countdown_cd4_32_8_0.7_8_512_128_generations_instruct_templated_vllm.json,512,128,65536,65525,2,22181,39227,4126,0,3.0517578125e-05,0.06296833269744373,0.062957763671875
countdown,prompt_diag,Llama,AR,instruct_flat,results/meta-llama_Llama-3.1-8B-Instruct_countdown_cd4_32_8_0.7_8_512_128_generations_instruct_flat_vllm.json,512,128,65536,65536,0,31451,30663,3422,0,0.0,0.052215576171875,0.052215576171875
trip_planning,base_main,LLaDA,dLLM,base_native,results/milestone2_trip_planning_llada_passk/GSAI-ML_LLaDA-8B-Base_trip_planning_256_256_32_1_0.7_2_200_64_generations_base_native_fast_dllm.json,200,64,12800,12799,563,0,11776,463,463,0.043984375,0.03617470114852723,0.036171875
trip_planning,base_main,Dream,dLLM,base_native,results/Dream-org_Dream-v0-Base-7B_trip_planning_256_256_32_1_0.7_2_200_64_generations_fast_dllm.json,200,64,12800,10562,6027,0,6407,696,696,0.470859375,0.06589661049043742,0.054375
trip_planning,base_main,Qwen,AR,base_native,results/Qwen_Qwen2.5-7B_trip_planning_256_1_0.7_2_200_64_generations_vllm.json,200,64,12800,11363,2678,0,9956,190,190,0.20921875,0.016720936372436858,0.01484375
trip_planning,base_main,Llama,AR,base_native,results/milestone2_trip_planning_llama_passk/meta-llama_Llama-3.1-8B_trip_planning_256_1_0.7_2_200_64_generations_base_native_vllm.json,200,64,12800,5406,7395,0,5091,314,314,0.577734375,0.05808361080281169,0.02453125
trip_planning,instruct_main,LLaDA,dLLM,instruct_templated,results/milestone2_trip_planning_llada_passk/GSAI-ML_LLaDA-8B-Instruct_trip_planning_256_256_16_1_0.7_2_200_64_generations_instruct_templated_fast_dllm.json,200,64,12800,12800,0,0,12672,128,128,0.0,0.01,0.01
trip_planning,instruct_main,Dream,dLLM,instruct_templated,results/Dream-org_Dream-v0-Instruct-7B_trip_planning_256_256_32_1_0.7_2_200_64_generations_fast_dllm.json,200,64,12800,12692,120,0,11956,724,724,0.009375,0.057043807122596914,0.0565625
trip_planning,instruct_main,Qwen,AR,instruct_templated,results/Qwen_Qwen2.5-7B-Instruct_trip_planning_256_1_0.7_2_200_64_generations_vllm.json,200,64,12800,12800,0,0,12589,211,211,0.0,0.016484375,0.016484375
trip_planning,instruct_main,Llama,AR,instruct_templated,results/milestone2_trip_planning_llama_passk/meta-llama_Llama-3.1-8B-Instruct_trip_planning_256_1_0.7_2_200_64_generations_instruct_templated_vllm.json,200,64,12800,8046,8704,0,3957,219,219,0.68,0.027218493661446682,0.017109375
trip_planning,instruct_flat,LLaDA,dLLM,instruct_flat,results/milestone2_trip_planning_llada_passk/GSAI-ML_LLaDA-8B-Instruct_trip_planning_256_256_16_1_0.7_2_200_64_generations_instruct_flat_fast_dllm.json,200,64,12800,12800,67,0,12578,155,155,0.005234375,0.012109375,0.012109375
trip_planning,instruct_flat,Llama,AR,instruct_flat,results/milestone2_trip_planning_llama_passk/meta-llama_Llama-3.1-8B-Instruct_trip_planning_256_1_0.7_2_200_64_generations_instruct_flat_vllm.json,200,64,12800,12270,645,0,11391,767,767,0.050390625,0.06251018744906275,0.059921875
